iter	Passed	Remaining
937	2756	182
938	2759	179
939	2762	176
940	2765	173
941	2768	170
942	2771	167
943	2774	164
944	2777	161
945	2780	158
946	2783	155
947	2787	152
948	2790	149
949	2794	147
950	2796	144
951	2799	141
952	2802	138
953	2806	135
954	2809	132
955	2811	129
956	2814	126
957	2817	123
958	2820	120
959	2823	117
960	2826	114
961	2830	111
962	2833	108
963	2836	105
964	2839	102
965	2843	100
966	2846	97
967	2849	94
968	2852	91
969	2856	88
970	2859	85
971	2862	82
972	2865	79
973	2868	76
974	2871	73
975	2874	70
976	2877	67
977	2880	64
978	2883	61
979	2886	58
980	2889	55
981	2892	53
982	2895	50
983	2898	47
984	2901	44
985	2904	41
986	2907	38
987	2910	35
988	2913	32
989	2916	29
990	2919	26
991	2922	23
992	2925	20
993	2929	17
994	2932	14
995	2935	11
996	2938	8
997	2941	5
998	2945	2
999	2948	0
